Question,Answer
"Здравствуйте, у меня вопрос о поступлении на факультет лингвистики. Какие два предмета ЕГЭ по новым правилам необходимо сдавать? Ранее нужны были иностранный язык, обществознание и русский язык.","Добрый день! Никаких официальных распоряжений не поступало, поэтому все вступительные испытания на данный момент остаются те же https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/vstupitel-nyie-ispyitaniya-i-minimal-nyie-ballyi-p-3.html"
"Добрый день,скажите пожалуйста,как сдавать вступительные испытания при поступлении,в связи с такой ситуацией? Дистанционно?","Добрый день. Да, все вступительные испытания будут либо предоставляться в виде результатов ЕГЭ, либо сдаваться дистанционно. Обновлённые программы вступительных испытаний будут опубликованы здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/programmyi-vstupitel-nyih-ispyitaniy-provodimyih-v-5.html"
"В виде теста или ответов по видеосвязи будут проводиться вступительные испытания?","Как только программы на сайте обновятся, Вы обязательно об этом узнаете."
"Здравствуйте, у меня вопрос о поступлении на факультет лингвистики. Какие два предмета ЕГЭ по новым правилам необходимо сдавать? Ранее нужны были иностранный язык, обществознание и русский язык.","Добрый день! Никаких официальных распоряжений не поступало, поэтому все вступительные испытания на данный момент остаются те же https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/vstupitel-nyie-ispyitaniya-i-minimal-nyie-ballyi-p-3.html"
"Добрый день,скажите пожалуйста,как сдавать вступительные испытания при поступлении,в связи с такой ситуацией? Дистанционно?","Добрый день. Да, все вступительные испытания будут либо предоставляться в виде результатов ЕГЭ, либо сдаваться дистанционно. Обновлённые программы вступительных испытаний будут опубликованы здесь https://www.vyatsu.ru/abiturientu/univers/dni-otkryityih-dverey-1/programmyi-vstupitel-nyih-ispyitaniy-provodimyih-v-5.html"
"В виде теста или ответов по видеосвязи будут проводиться вступительные испытания?","Как только программы на сайте обновятся, Вы обязательно об этом узнаете."
"Здравствуйте, меня интересует вопрос по поводу поступления, а именно существует ли возможность подать документы по баллам Егэ 2019 года?","Добрый день! Да, такое возможно. С этого года произошло повышение минимальных баллов для подачи документов, нужно сверить с Вашими баллами."
"Здравствуйте, можно ли перевестись с 1 курса одного вуза на 1 курс вятгу на ту же специальность?","Добрый день! Приемная комиссия, к сожалению, не занимается переводом. Обратитесь, пожалуйста, по данному вопросу в деканат факультета, на который планируете перевестись https://www.vyatsu.ru/studentu-1/nauka-i-praktika.html"
"Здравствуйте. В этом году будут выделяться бюджетные места на заочную форму обучения по специальности машиностроение? Если да, то в каком количестве и какие предъявляются требования к абитуриентам?","Добрый день! В 2020 году, к сожалению, на заочную форму обучения не выделено бюджетных мест."
"Здравствуйте, подскажите пожалуйста, существует ли при вашем университете гимназия? Спасибо!, Либо лицей? Для прохождения 10 и 11 классов, с последующим поступлением в ваш ВУЗ?","Добрый день! Нет. При университете есть только Колледж ВятГУ."
"Добрый день! Хотела бы вам задать вопрос касаемо подготовительных курсов. Запись на курсы по академическому рисунку начнутся позже или прямо сейчас можно записаться?","Добрый день! Обратитесь, пожалуйста, с данным вопросом на электронную почту ct@vyatsu.ru, либо в группу ВКонтакте https://vk.com/ct_243"
"Здравствуйте. «Хочу ссылку на профтест». 9 класс КОГОБУ СОШ с УИОП г Омутнинск.  Где Взять сам тест?","Добрый день! Напишите, пожалуйста, на электронную почту prcom@vyatsu.ru"
"Заявку я уже отправил нужен сам тест","Вам должен прийти ответ со ссылкой на тест. Вы уже прошли тестирование и хотите результаты?"
"Нету ответа со ссылкой на тест. Заявка была отправлена 14 мая","Возможно ответ попал в папку 'Спам', продублируйте, пожалуйста, ещё раз Ваш запрос на электронную почту."
"можно повторный новый ответ с ссылкой на новый тест (была проблема с компьютером)","Напишите, пожалуйста, заявку на электронный адрес prcom@vyatsu.ru"
"И в какой форме проводится вступительное испытание по русскому языку в случае необходимости его написания?поступаю на очную форму","Добрый день! Выпускникам школ для поступления в вуз нужны результаты ЕГЭ, в том числе и по русскому языку. Тестирование по общеобразовательным предметам в вузе могут сдавать только лица с профессиональным образованием (окончившие колледж или техникум или вуз), лица с инвалидностью, иностранные граждане."
"Как я могу предоставить результаты ЕГЭ по русскому,если ЕГЭ по русскому языку отменили?","Пока официального приказа об отмене ЕГЭ по русскому языку не было. Однако если это произойдёт, то, вероятнее всего, в вузе сдавать вступительный экзамен по русскому не придётся - возможно, приём будет проводиться по двум другим ЕГЭ."
"А если на мою на специальность итак  нужно будет только два предмета ЕГЭ,включая русский язык?","Возможно, в таком случае будет учитываться один ЕГЭ и то профессиональное или творческое вступительное испытание, которое Вам нужно будет сдать в вузе. Однако официально такое распоряжение не вышло, поэтому пока готовьтесь к ЕГЭ по русскому тоже)"
"А где на сайте я смогу увидеть такое распоряжение ?и в каких числах?","Если такая информация поступит, то она появится в новостях на главной странице сайта или в разделе 'Абитуриенту', а также в нашей группе. По срокам сориентировать не можем, так как решение принимается Министерством."
"Я правильно поняла,что если я поступаю на очную форму обучения,то я могу подать документы на поступление дистанционно?, И сколько нужно фото 3*4 для поступления?","Вы правильно поняли, приём документов будет осуществляться только в дистанционном формате https://www.vyatsu.ru/internet-gazeta/instruktsiya-po-primeneniyu-ili-kak-postupit-v-vya.html"
"4 фото нужно ведь?","Да, всё верно, 4 фото."
"А когда нужно будет отдать оригиналы документов?уже известны сроки?","К сожалению, сроки подачи документов не известны., Как только расписание ЕГЭ будет утверждено, на официальном сайте ВятГУ будут опубликованы сроки подачи документов."
"А копию аттестата ведь не нужно заверять?просто ксерокопия?","Да, всё верно. Понадобиться только скан-копия аттестата."
"Добрый день, в связи с непонятной ситуации с экзаменами, хотел бы спросить, в ВятГУ нужны ли будут результаты ЕГЭ по русскому языку","Добрый день! Да, выпускникам школ для поступления в вуз нужны результаты ЕГЭ. Тестирование по общеобразовательным предметам в вузе могут сдавать только лица с профессиональным образованием (окончившие колледж или техникум или вуз), лица с инвалидностью, иностранные граждане."
"Добрый день, можете ли вы мне помочь с вопросом по поводу олимпиады, Я не могу зайти и дописаться на почту, с которой мне отправляли логин и пароль, Буду очень признателен если вы сможете мне оказать какую-нибудь помощь","Добрый день! Уточните, пожалуйста, какую олимпиаду Вы имеете ввиду?"
"Здравствуйте, Хочу узнать на счёт магистратуры, Если ли заочная форма, Логопеду дефектолог, Какие условия при поступлении, Цена, И время обучения, ???","Добрый день! Да, в 2020 году будет набор на заочную форму обучения магистратуры 'Специальное (дефектологическое) образование. Логопедическая работа в системе образования'. Прием документов начнется 20 июня 2020 года и будет проходить только в дистанционном формате https://www.vyatsu.ru/internet-gazeta/instruktsiya-po-primeneniyu-ili-kak-postupit-v-vya.html Стоимость обучения будет установлена и опубликована на официальном сайте ВятГУ к началу приема документов. Срок обучения 2 года 3 месяца."
