Question,Answer
"Добрый день) Закончила техникум ксхт, хочу дальше поступить по специальности учится на Теплоэнергетику и теплотехнику, можно ли перечень документов какие нужно принести, и стоимость заочного обучения?)","Добрый день! Поступление в этом году будет происходить в дистанционном формате. Перечень документов- диплом, паспорт, номера ИНН и СНИЛС., Приказ о стоимости обучения будет выложен на сайте к 20 июня, в прошлом году стоимость составляла около 50.000 р/год"
"спасибо😊, можно ли форму заявления на поступление","прием начнется с 20 июня, пока еще сервис недоступен"
"Здраствуйте мне интересно узнать о направлении физическая культура и адаптивная и менеджмент.Образование у меня колледж товаровед.Годиков уже правда много 33.Если заочно сколько обучение стоимость и что сдавать и баллы проходимые на платную основу","Добрый день! Если Вы закончили колледж, то Вы можете сдавать тестирование в вузе. Баллы - проф.вступительное (офп) - 36, русский -40, биология 40 для адаптивной физ.культуры. Для менеджмента - математика 39, русский язык 40, обществознание 44. Стоимость от 40 тыс. руб/год."
"А срок обучения и как оплата идет раз в месяц и по сколько.Когда начало приема документов","начало приема - 20 июня 2020 года. Срок обучения зависит от квалификации в дипломе. По оплате станет точно известно в июне (стоимость может измениться)."
"А биотехнология там оплата и тестирование.Куда легче поступить на какой факультет","везде поступление примерно одинаково, тестирование придется сдавать. На биотехнологию будут набирать в этом году в первый раз по заочной форме. Тестирование - математика, русский и биология."
"Везде 40 т в год","нет, не везде. Но стоимость может измениться."
"А если человек не сдаст тестирование по баллам даже платно не пройдет, Где то видел в группе в этой примерно тесты и ответы","да, не пройдет, тесты выложены примерные, вам попадется другой вариант"
"Как подготовиться, Где информацию брать","можно взять любые тесты ЕГЭ для школьников. Принцип будет тот же"
"Вышка то нужна везде сейчас требуется, А учится скорее всего 3 года с лишним","менеджмент и адаптивная физкультура - будут ускоренные группы. по Физической культуре - нет, только полный срок., меньше 3,5 лет у нас нет нигде"
"Адаптивная физкультура и физ.культура туда всех легче мне кажется поступить","тогда в 2020 году приходите поступать."
"Потому что со спортом на ты и в футбол играю, Вопрос в другом ради просто высшего и не пр годится поди оно кем тренером быть, А вы сами на кого учились, Здраствуйте","доброе утро!"
"А по Егэ тесты если покупать надо в книжном по предметам и дни открвтых дверей у вас в ноябре, По тестированию платно после колледжа","нет, тестирование бесплатно. тесты да, в книжном. весной обновятся и выложим пример на сайт., https://vk.com/prcom_vyatsu?z=photo-108366262_457239573%2Falbum-108366262_00%2Frev"
"То есть по ним подготовится можно весной по обновленным.А где их тут в каком разделе посмотреть можно.А то потерял где то в сообщениях группы было","по ним сложно подготовиться, это лишь пример теста"
"Лучше купить в книжком егэ для 9 кл","для 11, конечно, лучше, можете просто в яндексе вбить подготовка к егэ и решать тесты"
"Спасибо.А день открытых дверей по биотехнологии и физ.культуре 30.11.2019  в 11 по обоим направлениям немного в ступоре был","да, к сожалению"
"А заочно на биотехнологию 3,5 года","пока не известно, будет ли ускоренное, а так срок обучения 4,8 г"
